iter,R,remLev,crc,refresh,u_decrypt,objective,mse,cpu_temp_C,mem_used_MB,net_MBps_client,cpu_freq_MHz,elapsed_s
0,1.5,10,0,0,1,16.118048,0.449877,53.45,635.04,0.84,2400.00,178.30
1,1.50,15,0,1,1,NaN,NaN,54.18,648.79,0.64,1500.00,346.85
2,1.50,10,0,0,1,NaN,NaN,54.00,642.26,0.67,1500.00,522.59
3,1.50,15,0,1,1,NaN,NaN,54.37,625.06,0.66,1500.00,686.53
4,1.50,10,0,0,1,NaN,NaN,54.73,634.35,0.63,1500.00,873.53
5,1.50,15,1,1,1,3.137243,0.090255,55.10,651.04,0.59,1800.00,1093.74
6,1.50,10,0,0,1,NaN,NaN,54.00,638.77,0.57,1500.00,1299.94
7,1.50,15,0,1,1,NaN,NaN,54.73,631.25,0.57,1500.00,1489.63
8,1.50,10,0,0,1,NaN,NaN,53.63,635.27,0.42,1500.00,1773.06
9,1.50,15,0,1,1,NaN,NaN,54.73,643.96,0.81,1500.00,1905.56
10,1.58,10,1,0,1,2.546697,0.055351,55.28,642.23,0.83,2400.00,2075.42
11,1.58,15,0,1,1,NaN,NaN,55.28,625.89,1.06,1500.00,2171.99
12,1.58,10,0,0,1,NaN,NaN,54.37,635.12,0.77,1500.00,2323.55
13,1.58,15,0,1,1,NaN,NaN,54.92,635.00,0.87,1500.00,2447.05
14,1.58,10,0,0,1,NaN,NaN,52.35,637.56,0.41,1500.00,2729.83
15,1.66,15,1,1,1,2.345817,0.047483,54.55,650.94,1.12,2400.00,2844.42
16,1.66,10,0,0,1,NaN,NaN,55.47,632.84,1.19,2100.00,2941.19
17,1.66,15,0,1,1,NaN,NaN,55.28,635.13,1.13,1500.00,3036.29
18,1.66,10,0,0,1,NaN,NaN,56.38,633.72,1.15,1800.00,3137.96
19,1.66,15,0,1,1,NaN,NaN,55.83,628.49,1.18,1500.00,3228.77
20,1.75,10,1,0,1,2.302372,0.044759,55.65,632.53,1.02,2233.33,3365.58
21,1.75,15,0,1,1,NaN,NaN,56.02,626.80,1.14,1500.00,3457.89
22,1.75,10,0,0,1,NaN,NaN,56.75,629.21,1.41,2100.00,3540.24
23,1.75,15,0,1,1,NaN,NaN,57.12,635.19,1.23,1800.00,3627.51
24,1.75,10,0,0,1,NaN,NaN,56.20,629.64,1.35,1800.00,3713.64
25,1.84,15,1,1,1,2.298620,0.043529,57.48,653.78,1.43,2400.00,3804.81
26,1.84,10,0,0,1,NaN,NaN,57.12,633.87,1.46,2100.00,3882.60
27,1.84,15,0,1,1,NaN,NaN,55.47,631.39,1.00,1500.00,3989.39
28,1.84,10,0,0,1,NaN,NaN,56.20,626.18,1.06,2100.00,4099.64
29,1.84,15,0,1,1,NaN,NaN,56.38,645.19,1.10,1500.00,4196.93
30,1.94,10,1,0,1,2.304677,0.042794,55.65,636.49,1.01,2200.00,4337.21
31,1.94,15,0,1,1,NaN,NaN,55.83,637.39,0.79,1500.00,4470.08
32,1.94,10,0,0,1,NaN,NaN,55.28,634.60,0.75,1500.00,4626.51
33,1.94,15,0,1,1,NaN,NaN,54.73,627.43,0.70,1500.00,4779.48
34,1.94,10,0,0,1,NaN,NaN,54.73,629.18,0.64,1500.00,4961.61
35,2.04,15,1,1,1,2.312743,0.042381,56.57,648.76,0.83,2400.00,5118.12
36,2.04,10,0,0,1,NaN,NaN,54.55,649.19,0.65,1500.00,5297.98
37,2.04,15,0,1,1,NaN,NaN,55.28,623.39,0.66,1500.00,5461.19
38,2.04,10,0,0,1,NaN,NaN,54.73,629.34,0.86,1500.00,5597.45
39,2.04,15,0,1,1,NaN,NaN,55.28,628.05,0.79,1500.00,5734.70
40,2.15,10,1,0,1,2.323678,0.041988,54.73,634.48,0.82,2033.33,5904.03
41,2.15,15,0,1,1,NaN,NaN,56.20,624.46,0.81,1500.00,6035.72
42,2.15,10,0,0,1,NaN,NaN,55.65,630.76,0.85,1500.00,6174.46
43,2.15,15,0,1,1,NaN,NaN,55.47,636.30,0.87,1500.00,6298.95
44,2.15,10,0,0,1,NaN,NaN,56.20,630.15,0.85,1500.00,6436.82
45,2.26,15,1,1,1,2.335506,0.041541,56.20,642.70,0.86,2400.00,6587.01
46,2.26,10,0,0,1,NaN,NaN,55.83,631.31,0.87,1500.00,6720.66
47,2.26,15,0,1,1,NaN,NaN,56.75,630.74,0.88,1500.00,6842.92
48,2.26,10,0,0,1,NaN,NaN,55.10,632.47,0.89,1500.00,6974.17
49,2.26,15,0,1,1,2.343173,0.041362,55.28,652.31,0.90,2400.00,7108.03
