iter,R,remLev,refresh,objective,elapsed_s
0,10,9,0,14.282335,17111.8
1,10,15,1,6.532193,17201
2,10,9,0,4.899487,17301.1
3,10,15,1,4.330777,17390.8
4,10,9,0,4.222120,17491.4
5,10,15,1,3.862299,17582.3
6,10,9,0,3.738478,17682.1
7,10,15,1,3.565198,17769.8
8,10,9,0,3.521033,17869.4
9,10,15,1,3.458323,17958.4
10,10,9,0,3.448010,18058.6
11,10,15,1,3.415480,18149.4
12,10,9,0,3.404089,18251
13,10,15,1,3.378232,18341.9
14,10,9,0,3.364551,18443.8
15,10,15,1,3.342696,18534.2
16,10,9,0,3.329194,18634.2
17,10,15,1,3.314517,18726.8
18,10,9,0,3.306125,18822.9
19,10,15,1,3.297779,18910.2
20,10,9,0,3.292291,19014.7
21,10,15,1,3.288009,19105
22,10,9,0,3.284905,19208.7
23,10,15,1,3.281398,19302.6
24,10,9,0,3.278810,19415.8
25,10,15,1,3.275436,19514.5
26,10,9,0,3.272634,19612.3
27,10,15,1,3.269359,19703.1
28,10,9,0,3.266362,19822.2
29,10,15,1,3.263381,19927.1
30,10,9,0,3.260429,20046
31,10,15,1,3.257798,20151.3
32,10,9,0,3.255376,20278
33,10,15,1,3.253135,20389.3
34,10,9,0,3.250969,20483.9
35,10,15,1,3.249020,20570.5
36,10,9,0,3.247198,20664.5
37,10,15,1,3.245493,20752.5
38,10,9,0,3.243902,20850.3
39,10,15,1,3.242355,20939.5
40,10,9,0,3.241017,21039.9
41,10,15,1,3.239663,21130.3
42,10,9,0,3.238329,21234.3
43,10,15,1,3.237151,21325.2
44,10,9,0,3.236044,21423.5
45,10,15,1,3.234993,21510.4
46,10,9,0,3.233952,21612.8
47,10,15,1,3.233035,21699.3
48,10,9,0,3.232030,21798.6
49,10,15,1,3.231124,21891
