iter,R,remLev,refresh,objective,mem_used_MB,elapsed_s
0,2,9,0,15.887383,601.74,3166.28
1,2.00,15,1,7.201918,613.11,3297.92
2,2.00,9,0,4.722923,605.55,3442.88
3,2.00,15,1,3.827508,614.81,3601.05
4,2.00,9,0,3.542356,606.50,3733.29
5,2.00,15,1,3.207500,621.11,3901.23
6,2.00,9,0,3.075472,606.60,4034.88
7,2.00,15,1,2.868986,620.18,4165.50
8,2.00,9,0,2.787871,609.47,4322.77
9,2.00,15,1,2.672655,616.69,4452.59
10,2.00,9,0,2.614953,610.02,4583.65
11,2.00,15,1,2.542935,621.94,4696.51
12,2.00,9,0,2.499799,606.04,4805.94
13,2.00,15,1,2.450788,618.72,4902.86
14,2.00,9,0,2.417816,608.98,5014.57
15,2.00,15,1,2.385346,619.20,5112.69
16,2.00,9,0,2.363436,608.02,5217.39
17,2.00,15,1,2.344520,620.16,5315.35
18,2.00,9,0,2.332269,608.72,5424.94
19,2.00,15,1,2.321121,614.48,5522.51
20,2.00,9,0,2.313611,611.01,5631.21
21,2.00,15,1,2.307472,619.15,5735.40
22,2.00,9,0,2.303286,608.40,5853.57
23,2.00,15,1,2.299437,624.06,5959.59
24,2.00,9,0,2.296346,607.55,6078.35
25,2.00,15,1,2.294049,624.07,6184.14
26,2.00,9,0,2.292400,612.99,6308.35
27,2.00,15,1,2.290831,616.77,6413.02
28,2.00,9,0,2.289642,607.86,6540.70
29,2.00,15,1,2.288547,609.72,6649.89
30,2.00,9,0,2.287588,609.34,6755.93
31,2.00,15,1,2.286680,620.57,6851.77
32,2.00,9,0,2.285990,609.66,6958.71
33,2.00,15,1,2.285404,619.73,7055.43
34,2.00,9,0,2.284786,609.41,7162.23
35,2.00,15,1,2.284258,626.54,7261.38
36,2.00,9,0,2.283886,609.70,7368.69
37,2.00,15,1,2.283534,619.75,7468.44
38,2.00,9,0,2.283251,609.98,7584.51
39,2.00,15,1,2.282953,614.40,7682.02
40,2.00,9,0,2.282768,608.16,7795.29
41,2.00,15,1,2.282585,619.43,7890.08
42,2.00,9,0,2.282409,609.53,8000.27
43,2.00,15,1,2.282217,631.15,8096.75
44,2.00,9,0,2.282121,609.96,8204.23
45,2.00,15,1,2.282000,629.12,8302.65
46,2.00,9,0,2.281906,608.17,8410.70
47,2.00,15,1,2.281752,619.91,8509.46
48,2.00,9,0,2.281743,608.94,8616.42
49,2.00,15,1,2.281721,613.74,8715.14
