iter,objective,elapsed_s
0,17.1786,3.54295
1,7.17043,3.57059
2,4.10029,3.58708
3,3.48079,3.60553
4,3.16372,3.62058
5,2.84005,3.63446
6,2.62286,3.64923
7,2.47806,3.66435
8,2.37006,3.67991
9,2.28881,3.69572
10,2.22748,3.70978
11,2.18323,3.72306
12,2.15026,3.73777
13,2.12636,3.75451
14,2.11061,3.76871
15,2.10046,3.78622
16,2.09229,3.79874
17,2.08595,3.81194
18,2.08105,3.82841
19,2.07708,3.84411
20,2.07407,3.86075
21,2.07183,3.87877
22,2.07011,3.89739
23,2.06885,3.91589
24,2.06793,3.92972
25,2.06727,3.94454
26,2.06677,3.96029
27,2.0664,3.97615
28,2.06615,3.99015
29,2.06598,4.01838
30,2.06585,4.05218
31,2.06576,4.07664
32,2.06569,4.09225
33,2.06564,4.10758
34,2.06559,4.12338
35,2.06555,4.13926
36,2.06552,4.15391
37,2.0655,4.16953
38,2.06548,4.18558
39,2.06546,4.20375
40,2.06545,4.21851
41,2.06544,4.2316
42,2.06543,4.2461
43,2.06543,4.26253
44,2.06543,4.27454
45,2.06542,4.2879
46,2.06542,4.30323
47,2.06542,4.31778
48,2.06542,4.33382
49,2.06542,4.3458
