iter,t_mask_ms,t_vdecrypt_ms,t_xcollect_ms,t_udecrypt_ms,t_wupdate_ms,t_crc_ms,t_cheby_ms,t_broadcast_ms,t_refresh_ms,t_sidedecrypt_ms,t_total_ms,t_compute_ms,t_comm_normal_ms,t_comm_crc_ms,t_wait_ms,crc_overhead_pct,t_crc_innerprod_ms,t_crc_bcast_ms,t_crc_pardecrypt_ms,t_crc_rraw_ms
0,18876.095,36920.473,7234.896,57052.642,22.415,0.010,521.283,18563.790,0.080,13498.475,152690.159,543.697,44674.782,0.000,107471.670,0.00,-1.000,-1.000,-1.000,-1.000
1,36287.389,38489.480,14822.029,37871.052,23.234,0.001,295.885,9021.486,31530.271,204.355,168545.183,319.119,60130.905,0.000,108095.158,0.00,-1.000,-1.000,-1.000,-1.000
2,31240.672,56681.812,13117.231,56194.761,18.706,0.000,506.169,17903.338,0.093,65.567,175728.350,524.875,62261.242,0.000,112942.233,0.00,-1.000,-1.000,-1.000,-1.000
3,31825.712,39914.848,14746.136,38200.639,24.316,0.001,293.207,7593.079,31252.920,80.321,163931.178,317.523,54164.927,0.000,109448.728,0.00,-1.000,-1.000,-1.000,-1.000
4,30074.530,62732.959,15926.872,59015.422,17.777,0.000,522.078,18637.792,0.100,64.534,186992.064,539.856,64639.194,0.000,121813.015,0.00,-1.000,-1.000,-1.000,-1.000
5,33373.637,45792.082,16218.711,45802.802,23.350,11786.401,295.798,8018.892,37943.775,20947.737,220203.184,319.148,57611.239,11786.401,150486.397,5.35,235.568,17.247,11488.376,40.453
6,29644.143,69667.622,13553.308,71092.112,18.202,0.001,494.190,21644.889,0.079,81.297,206195.842,512.393,64842.340,0.000,140841.109,0.00,-1.000,-1.000,-1.000,-1.000
7,31435.349,48602.167,15998.382,45438.960,24.683,0.000,300.933,8447.683,39280.724,150.105,189678.987,325.616,55881.414,0.000,133471.956,0.00,-1.000,-1.000,-1.000,-1.000
8,32579.389,79724.318,12496.700,132369.860,23.500,0.000,519.415,25645.101,0.117,70.593,283428.994,542.916,70721.190,0.000,212164.888,0.00,-1.000,-1.000,-1.000,-1.000
9,19061.312,27378.936,9791.007,45420.567,24.566,0.001,313.410,7193.546,23207.741,103.512,132494.597,337.976,36045.865,0.000,96110.755,0.00,-1.000,-1.000,-1.000,-1.000
10,20211.694,63129.154,12025.674,38288.111,17.863,12145.081,525.501,11326.945,0.087,12181.339,169851.448,543.364,43564.313,12145.081,113598.691,7.15,422.293,21.904,11683.660,8.294
11,14807.317,26985.060,7850.487,23284.296,22.241,0.000,290.290,4603.053,18650.800,70.664,96564.209,312.531,27260.857,0.000,68990.821,0.00,-1.000,-1.000,-1.000,-1.000
12,17118.917,43470.587,11520.512,61532.698,23.049,0.000,483.386,17308.688,0.108,91.038,151548.985,506.436,45948.117,0.000,105094.432,0.00,-1.000,-1.000,-1.000,-1.000
13,18187.603,33907.386,8042.529,30959.108,24.802,0.000,283.707,6388.488,25527.081,172.463,123493.167,308.510,32618.620,0.000,90566.037,0.00,-1.000,-1.000,-1.000,-1.000
14,16624.720,41707.490,3773.485,198413.087,24.745,0.001,454.139,21702.801,0.086,70.612,282771.165,478.885,42101.005,0.000,240191.274,0.00,-1.000,-1.000,-1.000,-1.000
15,16399.400,28114.169,4172.022,23721.559,22.306,6341.347,300.926,4490.350,18886.318,12127.914,114576.311,323.231,25061.772,6341.347,82849.960,5.53,220.338,17.147,6051.623,46.357
16,12959.772,36117.484,6303.637,31406.980,20.345,0.000,447.433,9428.265,0.088,75.993,96759.997,467.778,28691.673,0.000,67600.546,0.00,-1.000,-1.000,-1.000,-1.000
17,14828.733,31116.787,3968.057,22632.653,26.210,0.000,318.197,4241.718,17829.045,132.606,95094.005,344.407,23038.507,0.000,71711.091,0.00,-1.000,-1.000,-1.000,-1.000
18,16226.939,33715.477,6121.535,34377.776,24.874,0.000,694.141,10394.050,0.139,107.319,101662.250,719.014,32742.525,0.000,68200.711,0.00,-1.000,-1.000,-1.000,-1.000
19,14663.227,22101.431,6529.395,21974.843,30.862,0.000,439.249,4614.014,20221.967,222.868,90797.856,470.111,25806.635,0.000,64521.109,0.00,-1.000,-1.000,-1.000,-1.000
20,14946.528,40774.084,6325.085,41653.949,23.832,11132.570,787.502,11062.871,0.194,10098.423,136805.037,811.334,32334.484,11132.570,92526.650,8.14,523.682,24.664,10567.627,10.204
21,12492.354,27050.026,3884.553,25947.111,22.917,0.000,284.917,4751.039,17781.703,72.932,92287.551,307.834,21127.946,0.000,70851.772,0.00,-1.000,-1.000,-1.000,-1.000
22,12402.382,31332.033,3211.715,26229.356,26.668,0.000,708.104,8364.453,0.139,72.501,82347.352,734.772,23978.550,0.000,57634.030,0.00,-1.000,-1.000,-1.000,-1.000
23,22367.188,21841.436,3626.270,19065.116,28.028,0.000,381.851,4315.107,15494.340,145.657,87264.994,409.879,30308.566,0.000,56546.550,0.00,-1.000,-1.000,-1.000,-1.000
24,11188.664,29799.281,4176.101,31469.306,20.428,0.000,707.248,8688.004,0.141,77.209,86126.383,727.676,24052.770,0.000,61345.937,0.00,-1.000,-1.000,-1.000,-1.000
25,11854.629,21916.373,3716.635,18430.381,27.928,5370.093,377.188,3744.482,14515.924,11215.521,91169.153,405.115,19315.746,5370.093,66078.199,5.89,330.481,22.644,5006.584,8.844
26,7850.156,28283.840,4870.347,27739.908,21.614,0.000,673.969,8273.318,0.140,73.780,77787.073,695.583,20993.821,0.000,56097.668,0.00,-1.000,-1.000,-1.000,-1.000
27,11603.015,23162.903,3624.081,20370.787,28.454,0.000,387.149,3739.981,43653.834,206.155,106776.359,415.602,18967.077,0.000,87393.679,0.00,-1.000,-1.000,-1.000,-1.000
28,15516.986,47317.751,7642.652,30557.034,28.041,0.000,952.665,8135.252,0.208,99.652,110250.240,980.706,31294.889,0.000,77974.646,0.00,-1.000,-1.000,-1.000,-1.000
29,13330.037,24213.250,7274.264,29269.440,37.215,0.000,445.740,4757.189,17878.971,79.038,97285.144,482.956,25361.490,0.000,71440.698,0.00,-1.000,-1.000,-1.000,-1.000
30,13772.674,34829.133,4701.701,41571.646,21.790,15995.434,670.067,15659.271,0.196,13064.166,140286.077,691.857,34133.646,15995.434,89465.141,11.40,534.241,30.411,15411.994,16.922
31,19986.361,35865.305,8828.330,35083.700,28.038,0.000,383.246,6033.724,26541.732,100.338,132850.775,411.284,34848.415,0.000,97591.076,0.00,-1.000,-1.000,-1.000,-1.000
32,21199.627,48892.722,10332.195,56372.775,23.980,0.000,675.315,18743.267,0.144,189.130,156429.156,699.295,50275.089,0.000,105454.771,0.00,-1.000,-1.000,-1.000,-1.000
33,27688.311,37293.847,11285.949,34919.181,27.852,0.000,404.808,7803.260,33470.598,75.243,152969.048,432.659,46777.519,0.000,105758.870,0.00,-1.000,-1.000,-1.000,-1.000
34,33120.365,66954.420,11180.731,55863.521,23.224,0.000,678.004,14245.918,0.169,62.459,182128.811,701.228,58547.014,0.000,122880.569,0.00,-1.000,-1.000,-1.000,-1.000
35,24680.688,31014.931,11403.356,31907.945,29.235,8468.607,384.658,6444.295,26420.636,15734.446,156488.798,413.893,42528.339,8468.607,105077.958,5.41,310.684,23.710,8123.974,8.591
36,19766.433,50943.186,10244.607,70395.528,32.761,0.000,868.478,27543.267,0.150,70.029,179864.440,901.239,57554.307,0.000,121408.893,0.00,-1.000,-1.000,-1.000,-1.000
37,44631.560,39190.090,10147.305,35346.521,36.460,0.000,496.024,6028.497,27264.728,63.718,163204.901,532.484,60807.361,0.000,101865.056,0.00,-1.000,-1.000,-1.000,-1.000
38,23860.870,43531.868,8489.208,44749.448,25.295,0.000,736.332,14781.363,0.135,85.515,136260.035,761.627,47131.441,0.000,88366.966,0.00,-1.000,-1.000,-1.000,-1.000
39,22284.162,34014.926,13049.274,32692.880,29.146,0.002,399.402,6340.934,28337.621,69.936,137218.284,428.548,41674.370,0.000,95115.364,0.00,-1.000,-1.000,-1.000,-1.000
40,20591.093,46586.968,9469.110,51219.270,24.657,14992.408,695.566,14974.678,0.138,10781.650,169335.537,720.222,45034.881,14992.408,108588.026,8.85,753.720,47.293,14181.263,8.291
41,21411.583,34251.374,9856.782,33279.327,29.731,0.000,397.235,6527.748,25843.411,75.794,131672.986,426.967,37796.113,0.000,93449.905,0.00,-1.000,-1.000,-1.000,-1.000
42,21503.849,47547.497,9918.030,44123.039,23.676,0.000,680.420,14862.108,0.255,73.774,138732.647,704.096,46283.987,0.000,91744.564,0.00,-1.000,-1.000,-1.000,-1.000
43,21675.068,30019.755,10569.651,30792.540,32.074,0.000,434.092,6020.662,24855.795,88.495,124488.132,466.166,38265.380,0.000,85756.586,0.00,-1.000,-1.000,-1.000,-1.000
44,24742.758,46509.385,10164.211,43320.685,23.742,0.000,704.275,12320.627,0.176,81.165,137867.024,728.018,47227.596,0.000,89911.411,0.00,-1.000,-1.000,-1.000,-1.000
45,21486.045,29928.701,9194.823,31013.090,31.096,8223.999,431.459,6799.828,23484.544,19582.906,150176.491,462.555,37480.697,8223.999,104009.241,5.48,317.703,26.180,7869.799,8.537
